,NGA,PolID,General.variables,Institutional.Variables,Religion.and.Normative.Ideology,Social.Complexity.variables,Social.Mobility,Warfare.variables,terr,logterr,data_range,Date.From,Date.To,year,settHier,adminLevels,militaryLevels,religiousLevels,pop,logpop,x,y
1,Basin of Mexico,MxClass,0,0,9,1,0,7,NA,NA,100-649 CE,100,649,374.5,3,NA,NA,NA,NA,NA,-99.1339996,19.4149578
2,Basin of Mexico,MxFormL,0,0,9,8,0,9,NA,NA,400-101 BCE,-400,-101,-250.5,3.5,NA,NA,2,NA,NA,-99.1339996,19.4149578
3,Basin of Mexico,MxFormM,0,0,0,5,0,5,NA,NA,800-401 BCE,-800,-401,-600.5,2.5,1.5,NA,1,NA,NA,-99.1339996,19.4149578
4,Basin of Mexico,MxEpicl,0,0,9,13,0,11,NA,NA,650-899 CE,650,899,774.5,3,4,2,NA,NA,NA,-99.1339996,19.4149578
5,Basin of Mexico,MxFormE,0,0,0,5,0,5,NA,NA,1200-801 BCE,-1200,-801,-1000.5,2.5,1.5,NA,1,NA,NA,-99.1339996,19.4149578
6,Basin of Mexico,MxPostM,0,0,10,12,0,11,NA,NA,1200-1426 CE,1200,1426,1313,3,NA,NA,NA,750000,13.52782849,-99.1339996,19.4149578
7,Basin of Mexico,MxToltc,0,0,10,11,0,11,22500,10.02127059,900-1199 CE,900,1199,1049.5,4,4,2,NA,175000,12.07254125,-99.1339996,19.4149578
8,Basin of Mexico,MxFormT,0,0,9,9,0,8,NA,NA,100 BCE-99 CE,-100,99,-0.5,3.5,NA,NA,2,NA,NA,-99.1339996,19.4149578
9,Basin of Mexico,MxInitl,0,0,0,1,0,2,NA,NA,2000-1201 BCE,-2000,-1201,-1600.5,1.5,NA,NA,NA,NA,NA,-99.1339996,19.4149578
10,Basin of Mexico,MxArch*,0,0,0,1,0,3,NA,NA,6000-2001 BCE,-6000,-2001,-4000.5,1,NA,NA,NA,NA,NA,-99.1339996,19.4149578
11,Basin of Mexico,MxAztec,0,0,10,19,0,14,28070,10.24245667,1427-1526 CE,1427,1519,1473,5,6,6.5,NA,3500000,15.06827353,-99.1339996,19.4149578
12,Big Island Hawaii,USKameh,0,0,3,9,1,9,15800,9.667765219,1778-1819 CE,1778,1819,1798.5,2,5,3.5,2,120000,11.69524702,-155.5324594,19.5254005
13,Big Island Hawaii,Hawaii1,0,1,1,1,1,1,2350,7.762170607,1000-1200 CE,1000,1199,1099.5,1,NA,NA,NA,NA,NA,-155.5324594,19.5254005
14,Big Island Hawaii,Hawaii2,0,0,1,4,1,1,2250,7.718685495,1200-1580 CE,1200,1649,1424.5,1.5,NA,NA,NA,17237.5,9.754842522,-155.5324594,19.5254005
15,Big Island Hawaii,Hawaii3,0,0,2,7,1,9,9500,9.159047078,1580-1778 CE,1650,1777,1713.5,2,4,3.5,2,118750,11.68477572,-155.5324594,19.5254005
16,Cahokia,USCahoL,0,1,0,7,1,5,2500,7.824046011,1200-1275 CE,1200,1274,1237,4.5,3.5,2,3,45000,10.71441777,-90.0584962,38.6524326
17,Cahokia,USIllin,0,0,0,5,1,7,16500,9.71111566,1640-1717 CE,1640,1717,1678.5,2,2,2,1,5225,8.561210077,-90.0584962,38.6524326
18,Cahokia,USMisEW,0,0,0,3,1,1,NA,NA,600-150 BCE,-600,-151,-375.5,1,1,NA,NA,NA,NA,-90.0584962,38.6524326
19,Cahokia,USMisME,0,1,0,9,1,7,150,5.010635294,900-1050 CE,900,1049,974.5,2.5,2.5,NA,2.5,450,6.109247583,-90.0584962,38.6524326
20,Cahokia,USMisMu,0,0,0,2,0,2,NA,NA,450-600 CE,450,599,524.5,1,1.5,NA,NA,NA,NA,-90.0584962,38.6524326
21,Cahokia,USMisMW,0,0,0,3,1,1,NA,NA,150 BCE - 300 CE,-150,299,74.5,1,1.5,NA,NA,NA,NA,-90.0584962,38.6524326
22,Cahokia,USMisPa,0,0,0,2,0,2,NA,NA,600-750 CE,600,749,674.5,1.5,1.5,NA,NA,NA,NA,-90.0584962,38.6524326
23,Cahokia,USMisRo,0,0,0,2,0,2,NA,NA,300-450 CE,300,449,374.5,1,1.5,NA,NA,NA,NA,-90.0584962,38.6524326
24,Cahokia,USMisSd,0,0,0,5,0,5,750,6.620073207,1275-1400 CE,1275,1399,1337,3,3,2,3,13500,9.510444964,-90.0584962,38.6524326
25,Cahokia,USCahoE,0,1,0,7,1,5,2500,7.824046011,1000-1150 CE,1050,1199,1124.5,4.5,3.5,2,3,45000,10.71441777,-90.0584962,38.6524326
26,Cahokia,USMisSp,0,1,0,2,0,7,150,5.010635294,750-900 CE,750,899,824.5,2,2,NA,2,450,6.109247583,-90.0584962,38.6524326
27,Cahokia,USOneot,0,0,0,2,0,7,6000,8.699514748,1400-1650 CE,1400,1639,1519.5,2.5,1,1.5,1,NA,NA,-90.0584962,38.6524326
28,Cambodian Basin,KhFunaE,0,2,1,28,1,22,257034,12.45696365,225-540 CE,225,539,382,3,3,2,2,NA,NA,104.3309358,13.0553181
29,Cambodian Basin,KhFunaL,0,2,3,29,1,22,264200,12.48446167,540-640 CE,540,639,589.5,3.5,3.5,2,2,165000,12.01370075,104.3309358,13.0553181
30,Cambodian Basin,KhCambd,0,0,9,35,1,30,280000,12.54254488,1432-1594 CE,1432,1593,1512.5,6,8.5,6,6,875000,13.68197917,104.3309358,13.0553181
31,Cambodian Basin,KhChenl,0,2,6,27,1,22,531000,13.1825173,550-825 CE,640,801,720.5,3.5,4,4,4,NA,NA,104.3309358,13.0553181
32,Cambodian Basin,ThAyuth,0,1,11,29,1,26,NA,NA,1593-1767 CE,1594,1767,1680.5,4,6,6,6,NA,NA,104.3309358,13.0553181
33,Cambodian Basin,ThRattn,0,2,11,33,1,19,513120,13.14826501,1782-1873 CE,1782,1873,1827.5,4,6,5,6,3250000,14.99416555,104.3309358,13.0553181
34,Cambodian Basin,KhMekBA,0,0,0,0,0,5,NA,NA,1200-501 BCE,-1200,-500,-850,1,NA,NA,NA,NA,NA,104.3309358,13.0553181
35,Cambodian Basin,KhMekIA,0,0,0,0,0,10,NA,NA,500 BCE-224 CE,-500,-224,-362,2,NA,NA,NA,NA,NA,104.3309358,13.0553181
36,Cambodian Basin,KhAngkC,0,0,14,37,1,29,939245,13.75283164,1100-1220 CE,1080,1219,1149.5,6,5,6,4,1500000,14.22097567,104.3309358,13.0553181
37,Cambodian Basin,KhAngkE,0,0,11,36,1,28,916847,13.72869589,802-1100 CE,802,1079,940.5,5,5,6,4,NA,NA,104.3309358,13.0553181
38,Cambodian Basin,KhAngkL,0,0,9,36,1,28,1.00E+06,13.81551056,1220-1432 CE,1220,1431,1325.5,6,5,6,4,1500000,14.22097567,104.3309358,13.0553181
39,Central Java,IdMajap,0,0,10,26,1,21,5.00E+05,13.12236338,1292-1518 CE,1291,1518,1404.5,3,4.5,5,3,5.00E+06,15.42494847,110.4557314,-7.69928
40,Central Java,IdMatrm,0,0,13,22,1,22,1.00E+05,11.51292546,1568-1703 CE,1568,1703,1635.5,3,3.5,5,2,3250000,14.99416555,110.4557314,-7.69928
41,Central Java,IdMedng,0,0,10,22,1,24,125000,11.73606902,732-1019 CE,732,1019,875.5,2.5,3.5,4.5,1.5,3.00E+05,12.61153775,110.4557314,-7.69928
42,Central Java,IdKalin,0,0,5,10,1,15,NA,NA,500-732 CE,500,731,615.5,1.5,3.5,NA,1.5,NA,NA,110.4557314,-7.69928
43,Central Java,IdKedir,0,0,10,20,1,23,60000,11.00209984,1049-1222 CE,1049,1222,1135.5,3,4.5,5,3,275000,12.52452638,110.4557314,-7.69928
44,Central Java,IdCJBun,0,0,0,2,0,14,NA,NA,400 BCE - 500 CE,-400,499,49.5,1.5,NA,NA,NA,NA,NA,110.4557314,-7.69928
45,Chuuk Islands,FmTrukE,0,0,9,3,1,6,NA,NA,1775-1886 CE,1775,1885,1830,1,2,3,1,NA,NA,151.8736418,7.375065
46,Chuuk Islands,FmTrukL,0,0,13,19,1,8,127,4.844187086,1886-1948 CE,1886,1948,1917,2,4,3,1,9200,9.126958763,151.8736418,7.375065
47,Crete,TrByzM3,0,0,2,40,0,39,743333.3333,13.51889985,1073-1204 CE,1073,1203,1138,6,8,9,7,7300000,15.80338491,24.9387675,35.1938774
48,Crete,GrCrGeo,0,0,3,14,0,21,NA,NA,1000-710 BCE,-1000,-711,-855.5,2,NA,NA,NA,NA,NA,24.9387675,35.1938774
49,Crete,TrERom*,0,0,24,82,2,76,1450000,14.18707411,395-631 CE,395,607,501,6,8,9,7,16250000,16.60360347,24.9387675,35.1938774
50,Crete,TrRomDm,0,0,60,195,5,160,4250000,15.26242954,285-394 CE,284,394,339,7,8.5,7,5,5.50E+07,17.82284374,24.9387675,35.1938774
51,Crete,GrCrFPa,0,0,1,6,0,16,NA,NA,1200-1000 BCE,-1200,-1001,-1100.5,1,NA,NA,NA,NA,NA,24.9387675,35.1938774
52,Crete,GrCrPPa,0,0,1,18,0,17,NA,NA,1300-1200 BCE,-1300,-1201,-1250.5,4,4,NA,NA,NA,NA,24.9387675,35.1938774
53,Crete,GrCrPre,0,0,0,6,0,8,NA,NA,3000-1900 BCE,-3000,-1901,-2450.5,1.75,1.5,NA,1,NA,NA,24.9387675,35.1938774
54,Crete,ItRomPr,0,10,55,190,5,185,5012500,15.42744535,31 BCE - 284 CE,-31,283,126,7,8.5,9,4,55833333.33,17.83788162,24.9387675,35.1938774
55,Crete,TrByzM1,0,0,12,39,1,39,973333.3333,13.78848189,632-866 CE,632,823,727.5,6,8,8,7,7750000,15.8632034,24.9387675,35.1938774
56,Crete,TrByzM2,0,2,12,39,1,39,772500,13.55738729,867-1072 CE,961,1072,1016.5,6,8,8.5,7,1.00E+07,16.11809565,24.9387675,35.1938774
57,Crete,GrCrArc,0,0,0,26,0,21,167,5.117993812,710-500 BCE,-710,-501,-605.5,3,5,5,5,NA,NA,24.9387675,35.1938774
58,Crete,GrCrCls,0,0,2,31,0,22,225,5.416100402,500-323 BCE,-500,-322,-411,3,5,5,5,17500,9.76995616,24.9387675,35.1938774
59,Crete,GrCrEmr,0,0,0,32,0,29,8336,9.028338764,824-961,824,960,892,3,5,3,4,250000,12.4292162,24.9387675,35.1938774
60,Crete,GrCrNeo,0,0,0,1,0,1,NA,NA,7000-3000 BCE,-7000,-3001,-5000.5,1.5,1,NA,1,NA,NA,24.9387675,35.1938774
61,Crete,GrCrNPa,0,0,2,16,0,15,NA,NA,1700- 1450 BCE,-1700,-1451,-1575.5,3.5,5,NA,NA,NA,NA,24.9387675,35.1938774
62,Crete,GrCrHel,0,0,2,32,0,24,225,5.416100402,323-69 BCE,-323,-69,-196,3,5,5,5,17500,9.76995616,24.9387675,35.1938774
63,Crete,GrCrMPa,0,0,1,19,1,15,5000,8.517193191,1450-1300 BCE,-1450,-1301,-1375.5,3.5,5,5,3,65000,11.08214255,24.9387675,35.1938774
64,Crete,GrCrOPa,0,0,1,12,0,7,NA,NA,1900-1700 BCE,-1900,-1701,-1800.5,3.5,2.5,NA,NA,NA,NA,24.9387675,35.1938774
65,Cuzco,EsHabsb,0,0,13,40,1,38,7100000,15.77560534,1516-1700 CE,1532,1700,1616,7,6,13,10,2.90E+07,17.18280639,-71.9675,-13.5325784
66,Cuzco,PeCuzE1,0,0,0,1,0,3,800,6.684611728,200-499 CE,200,499,349.5,3,NA,NA,NA,NA,NA,-71.9675,-13.5325784
67,Cuzco,PeWari*,0,0,0,12,1,17,170000,12.04355372,650-999 CE,650,999,824.5,5,3.5,3.5,NA,3.00E+05,12.61153775,-71.9675,-13.5325784
68,Cuzco,PeCuzL1,0,0,2,4,0,9,600,6.396929655,1000-1250 CE,1000,1249,1124.5,4,NA,NA,NA,NA,NA,-71.9675,-13.5325784
69,Cuzco,PeCuzL2,0,0,2,12,1,10,2550,7.843848638,1250-1400 CE,1250,1399,1324.5,4,4,4,2,NA,NA,-71.9675,-13.5325784
70,Cuzco,PeCuzLF,0,0,0,1,0,2,NA,NA,500 BCE-200 CE,1,199,100,3,NA,NA,NA,NA,NA,-71.9675,-13.5325784
71,Cuzco,PeCuzE2,0,0,0,1,0,2,1000,6.907755279,500-649 CE,500,649,574.5,3,NA,NA,NA,NA,NA,-71.9675,-13.5325784
72,Cuzco,PeInca*,0,0,4,22,1,24,1250000,14.03865411,1375-1532 CE,1400,1531,1465.5,5,5,6,4,1.00E+07,16.11809565,-71.9675,-13.5325784
73,Deccan,GbEmpr2,0,0,13,36,0,30,26750000,17.10204503,1780-1840 CE,1780,1840,1810,6.5,9,11,NA,253750000,19.35186009,77.5505367,16.2770102
74,Deccan,InChaBd,0,0,10,22,1,30,750000,13.52782849,543-753 CE,541,756,648.5,4,5.5,6,5,3525000,15.07539099,77.5505367,16.2770102
75,Deccan,InChaKl,0,0,10,18,1,28,3800000,15.15051162,973-1191 CE,974,1055,1014.5,3,5.5,6,4.5,7750000,15.8632034,77.5505367,16.2770102
76,Deccan,InDecKg,0,0,13,9,1,25,NA,NA,205-101 BCE,-205,-101,-153,3,3.5,NA,NA,NA,NA,77.5505367,16.2770102
77,Deccan,InDecNL,0,0,0,2,0,5,NA,NA,2700-1200 BCE,-2700,-1201,-1950.5,1,NA,NA,NA,NA,NA,77.5505367,16.2770102
78,Deccan,InHoysa,0,0,10,18,1,28,150000,11.91839057,1108-1346 CE,1192,1253,1222.5,3,3.5,4.5,1.5,NA,NA,77.5505367,16.2770102
79,Deccan,InDecIA,0,0,0,4,1,24,NA,NA,1200-300 BCE,-1200,-301,-750.5,1.5,1.5,1.5,1,11083.33333,9.313197757,77.5505367,16.2770102
80,Deccan,InRasht,0,0,10,28,1,27,6.00E+05,13.30468493,753-973 CE,757,973,865,3,7,5,5,5500000,15.52025865,77.5505367,16.2770102
81,Deccan,InSataL,0,0,10,25,1,29,1400000,14.15198279,100 BCE - 200 CE,-100,203,51.5,4,5,4.5,1.5,8187500,15.91811916,77.5505367,16.2770102
82,Deccan,InVakat,0,0,10,22,1,30,950000,13.76421726,255-550 CE,286,335,310.5,5,5,5,2,6500000,15.68731273,77.5505367,16.2770102
83,Deccan,InVijay,0,0,10,29,1,28,360000,12.79385931,1336-1646 CE,1337,1646,1491.5,3.5,4.5,5.5,1,2.50E+07,17.03438638,77.5505367,16.2770102
84,Deccan,InMugl*,0,0,16,37,1,39,3850000,15.16358371,1526-1858 CE,1687,1720,1703.5,4,7,6,1,1.30E+08,18.68304501,77.5505367,16.2770102
85,Deccan,InKadam,0,0,10,16,1,27,75000,11.22524339,345-550 CE,451,540,495.5,4,6,5,1.5,725000,13.49392693,77.5505367,16.2770102
86,Deccan,InKampi,0,0,10,20,1,23,20000,9.903487553,1280-1327 CE,1280,1310,1295,3,3,4,2,NA,NA,77.5505367,16.2770102
87,Deccan,InMaury,0,0,13,36,1,35,4.00E+06,15.20180492,324-187 BCE,-300,-206,-253,4,7,7,3,5.90E+07,17.893048,77.5505367,16.2770102
88,Finger Lakes,UsIroqE,0,2,5,7,1,23,1.00E+05,11.51292546,1566 - 1713 CE,1566,1713,1639.5,2,3,3,1,5500,8.612503371,-76.8493766,42.8716091
89,Finger Lakes,UsIroqL,0,1,5,13,1,16,1.00E+05,11.51292546,1714-1848 CE,1714,1848,1781,3,3,3,2,12000,9.392661929,-76.8493766,42.8716091
90,Finger Lakes,UsIroqP,0,0,0,1,0,14,73218,11.20119657,1300-1565 CE,1300,1565,1432.5,2,NA,NA,NA,45000,10.71441777,-76.8493766,42.8716091
91,Galilee,EgPtol1,0,0,15,42,1,31,1.00E+06,13.81551056,305-217 BCE,-300,-199,-249.5,6,6,9,1,7.00E+06,15.76142071,35.2975423,32.7000883
92,Galilee,IlCanaa,0,0,1,21,1,23,1700,7.43838353,2000-1175 BCE,-2000,-1181,-1590.5,6.5,NA,NA,3,27500,10.22194128,35.2975423,32.7000883
93,Galilee,LbAcPho,0,0,1,23,1,22,9000,9.104979856,1200-332 BCE,-1180,-1031,-1105.5,6,NA,6,5.5,35000,10.46310334,35.2975423,32.7000883
94,Galilee,IlJudea,0,0,1,27,1,31,7500,8.9226583,141-63 BCE,-103,-62,-82.5,3,NA,NA,NA,NA,NA,35.2975423,32.7000883
95,Galilee,IlYisrl,0,0,2,22,0,26,11500,9.350102314,1030-722 BCE,-1030,-722,-876,7,NA,7,2,190000,12.15477935,35.2975423,32.7000883
96,Galilee,IqNAssr,0,0,8,23,1,26,1400000,14.15198279,911-612 BCE,-721,-539,-630,6,3.5,5,3,6.00E+06,15.60727003,35.2975423,32.7000883
97,Galilee,IrAchae,0,0,12,41,1,36,4170833.333,15.24362641,550-331 BCE,-538,-331,-434.5,5.5,7,7,4,24500000,17.01418368,35.2975423,32.7000883
98,Galilee,IrSeleu,0,1,15,31,1,35,2493750,14.72929816,312-63 BCE,-200,-104,-152,6,5.5,5,4,2.30E+07,16.95100477,35.2975423,32.7000883
99,Garo Hills,InGaroL,0,0,4,13,0,9,8000,8.987196821,1867-1956 CE,1868,1956,1912,3,2,2,1,138000,11.83500896,90.4044413,25.4457208
100,Garo Hills,InGaroE,0,0,4,2,0,10,NA,NA,1775-1867 CE,1775,1867,1821,2,1,2,1,2500,7.824046011,90.4044413,25.4457208
101,Ghanaian Coast,GhAshnE,0,1,10,10,1,10,NA,NA,1501-1701 CE,1501,1701,1601,3,4,5,2.5,NA,NA,-0.2295113,5.5783858
102,Ghanaian Coast,GhAshnL,0,1,10,22,1,13,259000,12.46458334,1701-1895 CE,1702,1895,1798.5,4,6,6,4,3.00E+06,14.91412285,-0.2295113,5.5783858
103,Iceland,NorKing,0,0,14,23,1,22,103000,11.54248427,1262-1380 CE,1262,1380,1321,3,5,3,4,70000,11.15625052,-18.3574805,64.639796
104,Iceland,IsCommw,0,0,20,22,1,21,103000,11.54248427,930-1262 CE,930,1261,1095.5,2,4,2.5,1.5,34375,10.44508483,-18.3574805,64.639796
105,Kachi Plain,AfDurrn,0,0,16,25,1,35,1140333.333,13.94683118,1747-1826 CE,1748,1826,1787,3.5,5,4,1.5,NA,NA,68.0670712,28.6542539
106,Kachi Plain,AfGhurd,0,0,16,28,1,30,906666.6667,13.71753015,1025-1215 CE,1193,1206,1199.5,3,5,4,1,NA,NA,68.0670712,28.6542539
107,Kachi Plain,IrSasn1,0,2,16,27,1,29,2900000,14.88022129,205-487 CE,251,495,373,5.5,6,8,4.5,5.00E+06,15.42494847,68.0670712,28.6542539
108,Kachi Plain,IrSasn2,0,2,14,33,1,29,3127500,14.95574452,488-642 CE,532,641,586.5,6,6,8,4.5,14566666.67,16.49424637,68.0670712,28.6542539
109,Kachi Plain,PkAcerN,0,0,0,4,0,0,NA,NA,7500-5500 BCE,-7500,-5501,-6500.5,1.5,1,1,1,NA,NA,68.0670712,28.6542539
110,Kachi Plain,PkCeraN,0,0,0,5,0,0,NA,NA,5500-4000 BCE,-5500,-4001,-4750.5,1.5,1,1,1,NA,NA,68.0670712,28.6542539
111,Kachi Plain,PkChalc,0,0,0,5,0,0,NA,NA,4000-3200 BCE,-4000,-3201,-3600.5,2,1.5,0.5,1,NA,NA,68.0670712,28.6542539
112,Kachi Plain,PkIndGr,0,0,10,24,1,32,105226,11.5638657,180-10 BCE,-145,-96,-120.5,2.5,4.5,4,NA,60000,11.00209984,68.0670712,28.6542539
113,Kachi Plain,PkPostU,0,0,0,7,0,6,NA,NA,1800-1300 BCE,-1800,-1301,-1550.5,1.5,1,0.5,1,NA,NA,68.0670712,28.6542539
114,Kachi Plain,PkPreUr,0,0,0,5,0,0,NA,NA,3200-2500 BCE,-3200,-2501,-2850.5,2.5,1.5,0.5,1,NA,NA,68.0670712,28.6542539
115,Kachi Plain,AfHepht,0,0,9,28,1,34,1937500,14.47690904,408-561 CE,496,531,513.5,2.5,4.5,4,1,26500000,17.09265529,68.0670712,28.6542539
116,Kachi Plain,AfKushn,0,0,10,31,1,33,2250000,14.62644077,35-319 CE,30,250,140,4.5,4.5,5,3,13750000,16.43654938,68.0670712,28.6542539
117,Kachi Plain,InDelh*,0,0,16,39,1,35,3.00E+06,14.91412285,1206-1526 CE,1207,1339,1273,6,9,8,5,NA,NA,68.0670712,28.6542539
118,Kachi Plain,IqAbbs1,0,0,16,38,1,31,4650000,15.35237778,750-946 CE,750,861,805.5,6,6,6,2,1.90E+07,16.75994954,68.0670712,28.6542539
119,Kachi Plain,IrPart1,0,2,12,33,1,34,1760000,14.38082437,247 BCE - 40 CE,-95,21,-37,4.5,5.5,6,3,10605000,16.17683615,68.0670712,28.6542539
120,Kachi Plain,PkUrbn2,0,0,0,17,0,7,135000,11.81303006,1800-1300 BCE,-2100,-1801,-1950.5,3.5,1.5,0.5,2,NA,NA,68.0670712,28.6542539
121,Kachi Plain,SyCalUm,0,0,16,37,1,32,9.00E+06,16.01273514,661-750 CE,670,750,710,6,5.5,4,2,2.80E+07,17.14771507,68.0670712,28.6542539
122,Kachi Plain,PkSind1,0,0,16,21,1,27,140914,11.85590505,854-1193 CE,862,1192,1027,3,3,3,2,1.00E+06,13.81551056,68.0670712,28.6542539
123,Kachi Plain,PkSind2,0,0,16,19,1,32,140914,11.85590505,1335-1521 CE,1340,1519,1429.5,3,3,3,2,1600000,14.28551419,68.0670712,28.6542539
